song|genre|difficulty|level|type|score|version|internal_level
踊|POPS＆ANIME|Re:MASTER|13|DX|99.1334%|FESTiVAL|13.2
うっせぇわ|POPS＆ANIME|Re:MASTER|13|DX|99.5378%|UNiVERSE|13.2
夜に駆ける|POPS＆ANIME|Re:MASTER|12+|DX|97.6375%|UNiVERSE|12.8
廻廻奇譚|POPS＆ANIME|Re:MASTER|13|DX|98.6484%|UNiVERSE|13.3
くらべられっ子|POPS＆ANIME|Re:MASTER|13|DX|99.3467%|UNiVERSE PLUS|13.0
Virtual to LIVE|POPS＆ANIME|Re:MASTER|12+|DX|100.1774%|Splash|N/A
冬のこもりうた|POPS＆ANIME|Re:MASTER|13|DX|100.3917%|Splash PLUS|N/A
only my railgun|POPS＆ANIME|Re:MASTER|12|STANDARD|99.7276%|FiNALE|N/A
フォニイ|niconico＆VOCALOID™|Re:MASTER|13|DX|100.5582%|FESTiVAL|13.3
ヴィラン|niconico＆VOCALOID™|Re:MASTER|13|DX|99.2817%|FESTiVAL|13.0
ヴァンパイア|niconico＆VOCALOID™|Re:MASTER|13|DX|100.1721%|UNiVERSE PLUS|13.4
ヒバナ|niconico＆VOCALOID™|Re:MASTER|13|STANDARD|100.5448%|FiNALE|N/A
妄想感傷代償連盟|niconico＆VOCALOID™|Re:MASTER|13|STANDARD|97.4030%|MiLK PLUS|N/A
テレキャスタービーボーイ|niconico＆VOCALOID™|Re:MASTER|12+|DX|99.7464%|UNiVERSE|12.8
お気に召すまま|niconico＆VOCALOID™|Re:MASTER|13|STANDARD|99.3699%|FiNALE|N/A
インビジブル|niconico＆VOCALOID™|Re:MASTER|13+|STANDARD|99.8652%|MiLK PLUS|N/A
39|niconico＆VOCALOID™|Re:MASTER|13|STANDARD|98.7593%|maimai PLUS|13.4
結ンデ開イテ羅刹ト骸|niconico＆VOCALOID™|Re:MASTER|13|STANDARD|99.0217%|FiNALE|13.3
マトリョシカ|niconico＆VOCALOID™|Re:MASTER|13|STANDARD|100.2022%|maimai|13.2
ZIGG-ZAGG|niconico＆VOCALOID™|Re:MASTER|12|STANDARD|89.0608%|maimai|N/A
ロストワンの号哭|niconico＆VOCALOID™|Re:MASTER|14|STANDARD|97.3014%|ORANGE PLUS|14.2
エピクロスの虹はもう見えない|東方Project|Re:MASTER|13|STANDARD|99.3546%|GreeN PLUS|13.2
