song|type|difficulty|version
踊|dx|basic|FESTiVAL
うっせぇわ|dx|basic|UNiVERSE
残響散歌|dx|basic|FESTiVAL
YONA YONA DANCE|dx|basic|UNiVERSE PLUS
春を告げる|dx|basic|UNiVERSE PLUS
夜に駆ける|dx|basic|UNiVERSE
廻廻奇譚|dx|basic|UNiVERSE
veil|dx|basic|UNiVERSE
秒針を噛む|dx|basic|Splash PLUS
だから僕は音楽を辞めた|dx|basic|maimaiでらっくす PLUS
前前前世|standard|basic|MURASAKi PLUS
くらべられっ子|dx|basic|UNiVERSE PLUS
あの世行きのバスに乗ってさらば。|dx|basic|UNiVERSE PLUS
泥の分際で私だけの大切を奪おうだなんて|dx|basic|UNiVERSE
　|dx|basic|UNiVERSE PLUS
Princess♂|dx|basic|UNiVERSE PLUS
Photon Melodies|dx|basic|UNiVERSE PLUS
吾輩よ猫であれ|dx|basic|UNiVERSE PLUS
剣を抜け！GCCX MAX|dx|basic|UNiVERSE PLUS
ヒトガタ|dx|basic|UNiVERSE PLUS
オントロジー|dx|basic|UNiVERSE PLUS
VOLTAGE|dx|basic|UNiVERSE
Virtual to LIVE|dx|basic|Splash
Shiny Smily Story|dx|basic|Splash PLUS
Shooting Stars|dx|basic|UNiVERSE
MOON NIGHTのせいにして|dx|basic|UNiVERSE
ドラゴンエネルギー|dx|basic|UNiVERSE
冬のこもりうた|dx|basic|Splash PLUS
いつかいい感じにアレしよう|dx|basic|maimaiでらっくす PLUS
君の知らない物語|dx|basic|GreeN
君の知らない物語|standard|basic|GreeN
ネ！コ！|standard|basic|FiNALE
only my railgun|standard|basic|FiNALE
REVIVER オルタンシア・サーガ -蒼の騎士団- オリジナルVer.|standard|basic|MiLK
真・ハンサム体操でズンドコホイ|standard|basic|MURASAKi PLUS
GET!! 夢&DREAM|standard|basic|MURASAKi PLUS
バラライカ|standard|basic|GreeN PLUS
若い力 -SEGA HARD GIRLS MIX-|standard|basic|ORANGE PLUS
セハガガガンバッちゃう！！|standard|basic|PiNK PLUS
ラブリー☆えんじぇる!!|standard|basic|PiNK
ラブって♡ジュエリー♪えんじぇる☆ブレイク！！|standard|basic|FiNALE
デビル☆アイドル|dx|basic|maimaiでらっくす
POP STAR|standard|basic|GreeN PLUS
Love or Lies|standard|basic|maimai
jelly|standard|basic|maimai
美しく燃える森|standard|basic|maimai
Love You|standard|basic|maimai
come again|standard|basic|maimai
Future|standard|basic|maimai
NIGHT OF FIRE|standard|basic|maimai
