song|genre|difficulty|level|type|score|version|internal_level
踊|POPS＆ANIME|Re:MASTER|13|DX|99.9186%|FESTiVAL|13.2
うっせぇわ|POPS＆ANIME|Re:MASTER|13|DX|99.4327%|UNiVERSE|13.2
夜に駆ける|POPS＆ANIME|Re:MASTER|12+|DX|100.3205%|UNiVERSE|12.8
廻廻奇譚|POPS＆ANIME|Re:MASTER|13|DX|100.1266%|UNiVERSE|13.3
秒針を噛む|POPS＆ANIME|Re:MASTER|12+|DX|99.1263%|Splash PLUS|12.7
くらべられっ子|POPS＆ANIME|Re:MASTER|13|DX|99.8902%|UNiVERSE PLUS|13.0
Virtual to LIVE|POPS＆ANIME|Re:MASTER|12+|DX|99.6562%|Splash|N/A
冬のこもりうた|POPS＆ANIME|Re:MASTER|13|DX|99.0980%|Splash PLUS|N/A
only my railgun|POPS＆ANIME|Re:MASTER|12|STANDARD|100.2635%|FiNALE|N/A
ハム太郎とっとこうた|POPS＆ANIME|Re:MASTER|12+|DX|99.9664%|maimaiでらっくす PLUS|12.8
フォニイ|niconico＆VOCALOID™|Re:MASTER|13|DX|100.3821%|FESTiVAL|13.3
ヴィラン|niconico＆VOCALOID™|Re:MASTER|13|DX|100.5713%|FESTiVAL|13.0
ヴァンパイア|niconico＆VOCALOID™|Re:MASTER|13|DX|99.9841%|UNiVERSE PLUS|13.4
ヒバナ|niconico＆VOCALOID™|Re:MASTER|13|STANDARD|100.1331%|FiNALE|N/A
妄想感傷代償連盟|niconico＆VOCALOID™|Re:MASTER|13|STANDARD|100.3724%|MiLK PLUS|N/A
テレキャスタービーボーイ|niconico＆VOCALOID™|Re:MASTER|12+|DX|99.1252%|UNiVERSE|12.8
お気に召すまま|niconico＆VOCALOID™|Re:MASTER|13|STANDARD|99.7038%|FiNALE|N/A
立ち入り禁止|niconico＆VOCALOID™|Re:MASTER|13+|STANDARD|97.7057%|FiNALE|N/A
はやくそれになりたい！|niconico＆VOCALOID™|Re:MASTER|13|STANDARD|99.5139%|MiLK PLUS|13.2
いーあるふぁんくらぶ|niconico＆VOCALOID™|Re:MASTER|12|STANDARD|98.7587%|GreeN|N/A
ロキ|niconico＆VOCALOID™|Re:MASTER|13|STANDARD|99.4929%|FiNALE|N/A
インビジブル|niconico＆VOCALOID™|Re:MASTER|13+|STANDARD|100.2290%|MiLK PLUS|N/A
39|niconico＆VOCALOID™|Re:MASTER|13|STANDARD|100.2729%|maimai PLUS|13.4
Tell Your World|niconico＆VOCALOID™|Re:MASTER|13|STANDARD|99.9436%|maimai PLUS|N/A
カゲロウデイズ|niconico＆VOCALOID™|Re:MASTER|13+|STANDARD|97.7668%|GreeN|N/A
だんだん早くなる|niconico＆VOCALOID™|Re:MASTER|12+|STANDARD|99.6831%|MURASAKi|N/A
からくりピエロ|niconico＆VOCALOID™|Re:MASTER|12+|STANDARD|97.7246%|GreeN PLUS|N/A
結ンデ開イテ羅刹ト骸|niconico＆VOCALOID™|Re:MASTER|13|STANDARD|100.1294%|FiNALE|13.3
マトリョシカ|niconico＆VOCALOID™|Re:MASTER|13|STANDARD|98.2777%|maimai|13.2
ワールズエンド・ダンスホール|niconico＆VOCALOID™|Re:MASTER|13|STANDARD|99.6852%|maimai|13.3
ナイトメア☆パーティーナイト|niconico＆VOCALOID™|Re:MASTER|12|STANDARD|100.4896%|FiNALE|N/A
