"踊",dx,master
"うっせぇわ",dx,master
"残響散歌",dx,master
"YONA YONA DANCE",dx,master
"春を告げる",dx,master
"夜に駆ける",dx,master
"廻廻奇譚",dx,master
veil,dx,master
"秒針を噛む",dx,master
"だから僕は音楽を辞めた",dx,master
"前前前世",std,master
"くらべられっ子",dx,master
"あの世行きのバスに乗ってさらば。",dx,master
"泥の分際で私だけの大切を奪おうだなんて",dx,master
"　",dx,master
"Princess♂",dx,master
"Photon Melodies",dx,master
"吾輩よ猫であれ",dx,master
"剣を抜け！GCCX MAX",dx,master
"ヒトガタ",dx,master
"オントロジー",dx,master
VOLTAGE,dx,master
"Virtual to LIVE",dx,master
"Shiny Smily Story",dx,master
"Shooting Stars",dx,master
"MOON NIGHTのせいにして",dx,master
"ドラゴンエネルギー",dx,master
"冬のこもりうた",dx,master
"いつかいい感じにアレしよう",dx,master
"君の知らない物語",dx,master
"君の知らない物語",std,master
"ネ！コ！",std,master
"only my railgun",std,master
"REVIVER オルタンシア・サーガ -蒼の騎士団- オリジナルVer.",std,master
"真・ハンサム体操でズンドコホイ",std,master
"GET!! 夢&DREAM",std,master
"バラライカ",std,master
"若い力 -SEGA HARD GIRLS MIX-",std,master
"セハガガガンバッちゃう！！",std,master
"ラブリー☆えんじぇる!!",std,master
"ラブって♡ジュエリー♪えんじぇる☆ブレイク！！",std,master
"デビル☆アイドル",dx,master
"POP STAR",std,master
"Love or Lies",std,master
jelly,std,master
"美しく燃える森",std,master
"Love You",std,master
"come again",std,master
Future,std,master
"NIGHT OF FIRE",std,master
YATTA!,std,master
fake!fake!,std,master
"HIMITSUスパーク",std,master
"日本の米は世界一",std,master
"HOT LIMIT",dx,master
"ハム太郎とっとこうた",dx,master
"おジャ魔女カーニバル!!",dx,master
"true my heart -Lovable mix-",std,master
"ウッーウッーウマウマ(ﾟ∀ﾟ)",std,master
"Rodeo Machine",std,master
"ポップミュージックは僕のもの",std,master
"ジンギスカン",std,master
"ミラクル・ショッピング",std,master
"ウマイネームイズうまみちゃん",dx,master
"きらっせ☆ウッド村ファーム",std,master
"にじよめちゃん体操第一億",std,master
"インドア系ならトラックメイカー",dx,master
"タケモトピアノCMソング",dx,master
"フォニイ",dx,master
"ヴィラン",dx,master
EYE,dx,master
"エンヴィーベイビー",dx,master
KING,dx,master
"アニマル",dx,master
"ジレンマ",dx,master
"ヴァンパイア",dx,master
"ネガティブ進化論",dx,master
"乙女解剖",dx,master
"アンドロイドガール",dx,master
"ヒバナ",std,master
"妄想感傷代償連盟",std,master
"ゴーストルール",dx,master
"ゴーストルール",std,master
"ストリーミングハート",std,master
"二息歩行",std,master
"モザイクロール",dx,master
"モザイクロール",std,master
"弱虫モンブラン",std,master
"エゴロック",dx,master
"ジャンキーナイトタウンオーケストラ",dx,master
"テレキャスタービーボーイ",dx,master
"表裏一体",dx,master
"初音天地開闢神話",dx,master
"僕は空気が嫁ない",dx,master
"デッドマンズバラッド",dx,master
"終点",std,master
"終焉逃避行",dx,master
"ただ選択があった",dx,master
"グッバイ宣言",dx,master
"春嵐",dx,master
"ラグトレイン",dx,master
"幽霊東京",dx,master
"命に嫌われている",dx,master
"だれかの心臓になれたなら",dx,master
"ビターチョコデコレーション",dx,master
"ノイローゼ",dx,master
"悪魔の踊り方",dx,master
"ベノム",dx,master
"マネマネサイコトロピック",dx,master
"失敗作少女",dx,master
"自傷無色",dx,master
"劣等上等",dx,master
"雨とペトラ",dx,master
"シャルル",dx,master
"シャルル",std,master
"お気に召すまま",std,master
"ナンセンス文学",std,master
CocktaiL,dx,master
"ロールプレイングゲーム",std,master
"すーぱーぬこになれんかった",dx,master
"すーぱーぬこになりたい",std,master
"立ち入り禁止",std,master
"quiet room",dx,master
"初音ミクの激唱",std,master
"初音ミクの消失",std,master
"リモコン",dx,master
"on the rocks",dx,master
"アカツキアライヴァル",dx,master
"セツナトリップ",dx,master
"セツナトリップ",std,master
"放課後ストライド",std,master
"ポッピンキャンディ☆フィーバー！",dx,master
"どぅーまいべすと！",dx,master
"スターリースカイ☆パレード",dx,master
"はやくそれになりたい！",std,master
"Alice in 冷凍庫",dx,master
"アスノヨゾラ哨戒班",dx,master
"キミノヨゾラ哨戒班",std,master
"再会",dx,master
"約束",dx,master
"メルティランドナイトメア",dx,master
"ヒビカセ",std,master
"+♂",std,master
"おこちゃま戦争",std,master
"猫猫的宇宙論",dx,master
"明星ギャラクティカ",dx,master
"太陽系デスコ",dx,master
"彗星ハネムーン",std,master
"ダンスロボットダンス",dx,master
"ダンスロボットダンス",std,master
"エイリアンエイリアン",std,master
"パーフェクト生命",std,master
"とりあえずアナタがいなくなるまえに",dx,master
"ヘルシーエンド",std,master
"アルティメットセンパイ",dx,master
"頓珍漢の宴",std,master
"ありふれたせかいせいふく",std,master
"腐れ外道とチョコレゐト",std,master
"ディカディズム",dx,master
"命ばっかり",std,master
"フラジール",std,master
"フィクサー",std,master
"永遠にゲームで対戦したいキリタン",dx,master
"絶対にチョコミントを食べるアオイチャン",dx,master
"アカリがやってきたぞっ",dx,master
"Seyana. ～何でも言うことを聞いてくれるアカネチャン～",std,master
"幾望の月",dx,master
"トラフィック・ジャム",dx,master
"ラットが死んだnew words",dx,master
"阿吽のビーツ",dx,master
"デリヘル呼んだら君が来た",dx,master
"絶え間なく藍色",dx,master
"ガランド",dx,master
"アンクローズ・ヒューマン",dx,master
"深海シティアンダーグラウンド",dx,master
"KILLER B",dx,master
"スロウダウナー",dx,master
"グリーンライツ・セレナーデ",dx,master
METEOR,dx,master
"だからパンを焼いたんだ",dx,master
"メルト",dx,master
"デンパラダイム",dx,master
"骸骨楽団とリリア",dx,master
"星屑ユートピア",dx,master
"アマツキツネ",dx,master
"Strobe♡Girl",dx,master
"39みゅーじっく！",dx,master
"いーあるふぁんくらぶ",dx,master
"いーあるふぁんくらぶ",std,master
"ロキ",std,master
"バレリーコ",std,master
"イカサマライフゲイム",dx,master
"六兆年と一夜物語",dx,master
"六兆年と一夜物語",std,master
"敗北の少年",std,master
"インビジブル",std,master
"拝啓ドッペルゲンガー",std,master
"人生リセットボタン",std,master
"リンカーネイション",std,master
39,dx,master
39,std,master
"Catch the Wave",dx,master
"Tell Your World",std,master
"クレイジー・ビート",dx,master
"ネトゲ廃人シュプレヒコール",std,master
"グラーヴェ",dx,master
ARROW,std,master
"アスヘノBRAVE",dx,master
M.S.S.Planet,dx,master
M.S.S.Planet,std,master
"バイオレンストリガー",dx,master
"サヨナラチェーンソー",dx,master
"チュルリラ・チュルリラ・ダッダッダ！",std,master
"脳漿炸裂ガール",dx,master
"脳漿炸裂ガール",std,master
"厨病激発ボーイ",std,master
"アディショナルメモリー",dx,master
"アウターサイエンス",std,master
"夜咄ディセイブ",std,master
"カゲロウデイズ",std,master
"白ゆき",std,master
"ウミユリ海底譚",std,master
"だんだん早くなる",std,master
"恋愛裁判",std,master
"からくりピエロ",std,master
"WORLD'S END UMBRELLA",std,master
"結ンデ開イテ羅刹ト骸",std,master
"ドーナツホール",std,master
"砂の惑星 feat. HATSUNE MIKU",std,master
"ゴーゴー幽霊船",std,master
"パンダヒーロー",std,master
"マトリョシカ",std,master
"アンノウン・マザーグース",std,master
"アンハッピーリフレイン",std,master
"裏表ラバーズ",std,master
"ローリンガール",std,master
"ワールズエンド・ダンスホール",std,master
"このピアノでお前を8759632145回ぶん殴る",std,master
"やめろ！聴くな！",std,master
"ラブチーノ",std,master
"I ♥",std,master
"メランコリック",std,master
ZIGG-ZAGG,std,master
"スイートマジック",std,master
"リリリリ★バーニングナイト",std,master
"イアイア★ナイトオブデザイア",std,master
"ルカルカ★ナイトフィーバー",std,master
"メグメグ☆ファイアーエンドレスナイト",std,master
"深海少女",std,master
"トルコ行進曲 - オワタ＼(^o^)／",std,master
Sweetiex2,std,master
"shake it!",std,master
"Heart Beats",std,master
"天ノ弱",dx,master
"天ノ弱",std,master
"ナイトメア☆パーティーナイト",std,master
"おねがいダーリン",std,master
"フリィダム ロリィタ",std,master
"幸せになれる隠しコマンドがあるらしい",std,master
"しねばいいのに",std,master
"キレキャリオン",std,master
"ドクハク",std,master
"アルカリレットウセイ",std,master
"ロストワンの号哭",std,master
"吉原ラメント",std,master
"生きてるおばけは生きている",std,master
"踊れオーケストラ",std,master
"赤心性：カマトト荒療治",std,master
"イノコリ先生",std,master
ECHO,std,master
"東京リアルワールド",std,master
"不毛！",std,master
StargazeR,std,master
"みくみくにしてあげる♪【してやんよ】",std,master
"ぽっぴっぽー",std,master
"Nyan Cat EX",std,master
"どうしてこうなった",std,master
"magician's operation",std,master
"教えて!! 魔法のLyric",std,master
"おちゃめ機能",std,master
"BAD∞END∞NIGHT",std,master
"ロミオとシンデレラ",std,master
"ダンシング☆サムライ",std,master
"ハロ／ハワユ",std,master
"共感覚おばけ",std,master
"One Step Ahead",std,master
"Link (2)",std,master
"木彫り鯰と右肩ゾンビ",std,master
"バッド・ダンス・ホール",std,master
"デッドレッドガールズ",std,master
"林檎華憐歌",std,master
"ないせんのうた",std,master
"スカーレット警察のゲットーパトロール24時",dx,master
"銀のめぐり",dx,master
"Destiny Runner",dx,master
"三妖精SAY YA!!!",dx,master
"響け！CHIREI MY WAY!",dx,master
"悪戯センセーション",dx,master
"全力ハッピーライフ",dx,master
"紅に染まる恋の花",dx,master
"今、誰が為のかがり火へ",dx,master
"泡沫、哀のまほろば",std,master
"華鳥風月",std,master
"月に叢雲華に風",dx,master
"月に叢雲華に風",std,master
"色は匂へど散りぬるを",std,master
"大輪の魂 (feat. AO, 司芭扶)",dx,master
"物凄いヴァイブスで魔理沙が物凄いラップ",dx,master
"アマノジャクリバース feat. ｙｔｒ",std,master
"天狗の落とし文 feat. ｙｔｒ",std,master
Armageddon,dx,master
"Calamity Fortune",dx,master
"Calamity Fortune",std,master
"Spring of Dreams",dx,master
"ロストワードクロニカル",dx,master
"神々が恋した幻想郷",dx,master
"紅星ミゼラブル～廃憶編",dx,master
"イヤホンロマンス",dx,master
"マツヨイナイトバグ",dx,master
"ナイト・オブ・ナイツ (Cranky Remix)",dx,master
"ナイト・オブ・ナイツ",std,master
"疾走あんさんぶる",std,master
"サドマミホリック",std,master
"最終鬼畜妹フランドール・S",std,master
"最終鬼畜妹・一部声",std,master
