"In Chaos",90.2910%
"Alea jacta est!",94.2626%
"the EmpErroR",92.2080%
"ガラテアの螺旋",96.5490%
"QZKago Requiem",90.6206%
"Garakuta Doll Play",92.9193%
"雷切-RAIKIRI-",97.4830%
Schwarzschild,90.3825%
"mystique as iris",96.9927%
Regulus,91.4302%
Valsqotch,94.3856%
"World's end loneliness",95.6074%
"WiPE OUT MEMORIES",95.4298%
Sage,97.0525%
"sølips",91.8254%
"躯樹の墓守",94.5661%
Lia=Fail,94.8923%
"VIIIbit Explorer",97.1346%
"封焔の135秒",95.2871%
"Heavenly Blast",91.8277%
"Glorious Crown",93.6092%
"BREaK! BREaK! BREaK!",97.1183%
"GIGANTØMAKHIA",97.2375%
"AMAZING MIGHTYYYY!!!!",96.3597%
"the EmpErroR",94.3525%
TEmPTaTiON,96.1785%
"SILENT BLUE",96.8518%
"QZKago Requiem",95.3667%
"Our Wrenally",90.0728%
"Excalibur ～Revived resolution～",92.6968%
larva,93.4630%
ViRTUS,97.4640%
"怒槌",96.7411%
